N15000-0.00167I0-C61-5-QS5T50W10P500-AN20RN20CN0-ECS50-COONNNN-5;34704477,1666667;
S;74958,3362639;
V;5431460436,2722225;
Intervallo;[34681252,94577 , 34727701,38756];
N2000-0.0025I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;717379,2000000;
S;7750,5566536;
V;58068757,4933333;
Intervallo;[714977,85748 , 719780,54252];
