N15000-0.00167I0-C61-5-QS5T50W10P500-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;898680,6333333;1109528,8666667;19473,5333333;2698,4333333;2668,4666667;920151,8333333;1069478,2333333;16956,4000000;5328,7333333;5297,6000000;958402,3000000;1031682,9000000;22263,2000000;8079,4333333;8045,6000000;925441,8666667;1056873,0000000;28609,0333333;10782,4333333;10740,5333333;983551,7333333;1023871,4666667;26739,8333333;13440,2666667;13413,0000000;991246,7666667;995316,6333333;27941,8666667;16040,0666667;16001,7333333;1017092,1666667;967473,0000000;32024,5333333;18671,3000000;18637,6000000;940865,4000000;1025238,7333333;37820,1000000;21211,3333333;21179,7000000;981354,9666667;997551,2000000;32731,7666667;23744,4000000;23724,4000000;894249,7333333;1055449,8666667;43984,2666667;26278,0333333;26242,2333333;26241,3000000;26241,3000000;26241,3000000;26241,3000000;26241,3000000;26241,3000000;26241,3000000;26241,3000000;26241,3000000;
S;0,0000000;278634,7891739;207156,1725688;24089,5953527;232,0012906;228,4296818;272605,1220828;228064,4959629;17500,5422332;311,4847573;327,5249504;237445,8627728;201348,5949167;16568,2002756;356,0830670;360,5582453;274517,1274473;228982,9798501;19276,6452681;449,7290129;429,9210620;251062,8575990;204611,0762268;15066,9873384;472,0067163;483,3587944;281413,2636953;225981,9594447;12485,4812033;598,9780914;614,9003807;210164,2161357;181505,6823011;16278,6196584;598,2692941;591,2628565;263463,1953791;218797,9877577;19926,9115578;567,2115298;564,9846595;252338,3152593;199076,3589945;15254,1257431;583,2266727;582,3673802;269602,3182953;223014,1317732;18627,3825765;575,0384385;571,8125255;571,2340030;571,2340030;571,2340030;571,2340030;571,2340030;571,2340030;571,2340030;571,2340030;571,2340030;
V;0,0000000;75049434213,3655500;41483223838,9155500;560964984,1155555;52030,4455556;50440,7822222;71836434166,2722500;50279633841,5122150;296060012,5066666;93788,6622222;103696,8400000;54501186489,6766500;39189881452,4233400;265355085,0266666;122568,6455556;125668,8400000;72847664819,8488900;50685431559,0000000;359202751,0322223;195514,3122222;178671,0488889;60931473183,5955700;40470169430,8488850;219446970,5388888;215363,9955556;225847,8666667;76553644150,8455500;49365584461,2989040;150690999,5155555;346815,5955556;365499,0622222;42696697819,1388900;31846168950,6666680;256160342,7155556;345995,2766667;337938,7066667;67099093475,3733400;46276807465,2622150;383845744,0899999;311004,6222222;308567,4100000;61552137836,2988800;38310350153,4933300;224932073,7788889;328814,9066667;327846,7066667;70262563029,1955700;48077459538,1822360;335413402,2622222;319646,8988889;316070,5788889;315431,3433333;315431,3433333;315431,3433333;315431,3433333;315431,3433333;315431,3433333;315431,3433333;315431,3433333;315431,3433333;
Intervallo;[5,00000 , 5,00000];[812351,66427 , 985009,60240];[1045346,00254 , 1173711,73079];[12009,89271 , 26937,17396];[2626,55275 , 2770,31392];[2597,69267 , 2739,24067];[835691,02634 , 1004612,64033];[998817,37697 , 1140139,08970];[11534,23512 , 22378,56488];[5232,22651 , 5425,24016];[5196,12347 , 5399,07653];[884834,82983 , 1031969,77017];[969299,38833 , 1094066,41167];[17129,90113 , 27396,49887];[7969,10869 , 8189,75798];[7933,88882 , 8157,31118];[840388,66612 , 1010495,06721];[985927,57125 , 1127818,42875];[22636,58130 , 34581,48537];[10643,09452 , 10921,77215];[10607,33158 , 10873,73509];[905765,33153 , 1061338,13514];[960477,14566 , 1087265,78768];[22071,65285 , 31408,01381];[13294,02558 , 13586,50775];[13263,24172 , 13562,75828];[904056,94731 , 1078436,58603];[925301,00591 , 1065332,26076];[24073,51009 , 31810,22325];[15854,48625 , 16225,64709];[15811,21974 , 16192,24693];[951977,32524 , 1082207,00809];[911237,38607 , 1023708,61393];[26980,95476 , 37068,11191];[18485,93919 , 18856,66081];[18454,40998 , 18820,79002];[859237,02147 , 1022493,77853];[957448,90432 , 1093028,56235];[31646,17701 , 43994,02299];[21035,59510 , 21387,07157];[21004,65171 , 21354,74829];[903173,39187 , 1059536,54147];[935871,69154 , 1059230,70846];[28005,60540 , 37457,92794];[23563,69982 , 23925,10018];[23543,96605 , 23904,83395];[810719,28021 , 977780,18646];[986353,75652 , 1124545,97681];[38212,97465 , 49755,55868];[26099,87010 , 26456,19657];[26065,06958 , 26419,39709];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];[26064,31549 , 26418,28451];
N2000-0.0025I0-C61-5-QS5T25W10P100-AN20RN20CN0-ECS50-COONNNN-5;5,0000000;8119,3333333;32502,1333333;8829,0333333;522,3333333;471,1666667;7432,1666667;31636,1666667;8942,0333333;1027,4666667;937,4000000;7004,8333333;30071,3333333;9837,1666667;1476,3666667;1357,5666667;5940,8000000;28908,9333333;11020,9666667;1972,4666667;1764,2333333;5782,4000000;26569,3000000;12668,4666667;2397,9000000;2166,5666667;6408,5333333;26563,0333333;11517,5666667;2776,6666667;2537,4666667;5614,7333333;25553,1000000;12748,2000000;3302,1666667;2885,6666667;5870,6333333;24293,2000000;13028,6333333;3611,2333333;3220,2666667;5701,5000000;24158,2333333;13357,0666667;4025,8000000;3573,9000000;5867,8666667;23129,5666667;13739,4000000;4363,2333333;3867,5000000;3849,4666667;3848,1666667;3847,9333333;3847,9333333;3847,9333333;3847,9333333;3847,9333333;3847,9333333;3847,9333333;
S;0,0000000;4417,8791474;2039,1468759;4234,2444954;63,2724450;50,0041952;4232,4709265;2285,9796675;3472,9221571;239,2691074;76,9032531;3266,3110066;2396,5761113;2861,3838957;195,3249253;128,2289664;3027,2563816;2854,3564760;3896,0155640;507,5048315;138,7678993;2935,5632321;2881,5420937;4673,7220620;458,5621719;134,0130419;2425,0521748;2663,8909122;3068,0732321;472,1321654;130,9745259;2077,6378154;2813,5197658;3217,3629103;808,5622439;130,3785823;2076,6061251;2723,6595362;3329,5833174;422,9379740;148,8424145;1538,1843024;2662,9949264;2804,5228611;964,5251253;209,1962204;1632,9135107;2796,9384085;3101,7107249;664,7933920;160,5904515;158,4634698;158,1865078;157,9414849;157,9414849;157,9414849;157,9414849;157,9414849;157,9414849;157,9414849;
V;0,0000000;18867067,6222222;4019515,9822222;17331198,8988889;3869,9555556;2417,0722222;17316683,1388889;5051512,9388889;11659148,6988889;55341,3822222;5716,9733333;10313161,3388889;5552124,4888889;7914600,5388889;36880,0988889;15894,5788889;8858805,1600000;7875772,5288889;14672972,6988889;248975,7822222;18614,6455556;8330280,4400000;8026508,6766667;21115555,3155556;203269,9566667;17360,8455556;5684848,7822222;6859770,9655556;9099304,2455556;215478,4888889;16582,5155556;4172692,9288889;7652030,3566667;10006376,6266667;631980,4722222;16431,9555556;4168549,8988889;7171043,8933333;10716587,5655556;172913,9788889;21415,5955556;2287143,9166667;6855157,2455556;7603170,1955556;899298,4266667;42304,2900000;2577526,3155556;7562102,3122222;9299922,4400000;427218,5788889;24929,6500000;24273,6488889;24188,8722222;24113,9955556;24113,9955556;24113,9955556;24113,9955556;24113,9955556;24113,9955556;24113,9955556;
Intervallo;[5,00000 , 5,00000];[6750,54894 , 9488,11773];[31870,34773 , 33133,91893];[7517,14416 , 10140,92250];[502,72973 , 541,93693];[455,67395 , 486,65939];[6120,82700 , 8743,50633];[30927,90526 , 32344,42807];[7866,02344 , 10018,04323];[953,33430 , 1101,59903];[913,57319 , 961,22681];[5992,83744 , 8016,82922];[29328,80601 , 30813,86066];[8950,62869 , 10723,70464];[1415,84946 , 1536,88387];[1317,83769 , 1397,29564];[5002,87002 , 6878,72998];[28024,57265 , 29793,29401];[9813,87042 , 12228,06291];[1815,22726 , 2129,70607];[1721,23910 , 1807,22757];[4872,87916 , 6691,92084];[25676,51644 , 27462,08356];[11220,41487 , 14116,51846];[2255,82442 , 2539,97558];[2125,04562 , 2208,08771];[5657,18331 , 7159,88335];[25737,68429 , 27388,38237];[10566,99047 , 12468,14287];[2630,38672 , 2922,94662];[2496,88704 , 2578,04629];[4971,02215 , 6258,44452];[24681,39169 , 26424,80831];[11751,36962 , 13745,03038];[3051,65113 , 3552,68221];[2845,27168 , 2926,06165];[5227,24179 , 6514,02487];[23449,33294 , 25137,06706];[11997,03388 , 14060,23278];[3480,19514 , 3742,27153];[3174,15106 , 3266,38227];[5224,92683 , 6178,07317];[23333,16189 , 24983,30477];[12488,14585 , 14225,98748];[3726,96273 , 4324,63727];[3509,08507 , 3638,71493];[5361,94370 , 6373,78964];[22262,99573 , 23996,13760];[12778,40195 , 14700,39805];[4157,26146 , 4569,20520];[3817,74452 , 3917,25548];[3800,37018 , 3898,56315];[3799,15600 , 3897,17734];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];[3798,99858 , 3896,86809];
