N6000-0.0042I0-C61-5-QS5T25W10P500-AN20RN20CN0-ECS50-COONNNN-5;1,0333333;50,0000000;
S;0,9994251;0,0000000;
V;0,9655556;0,0000000;
Intervallo;[0,72368 , 1,34298];[50,00000 , 50,00000];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN0RN0CN0-ECS50-COONNNN-5;1,2333333;50,0000000;
S;1,0063020;0,0000000;
V;0,9788889;0,0000000;
Intervallo;[0,92155 , 1,54511];[50,00000 , 50,00000];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN20RN20CN0-ECS50-COONNNN-5;1,0333333;50,0000000;
S;0,9994251;0,0000000;
V;0,9655556;0,0000000;
Intervallo;[0,72368 , 1,34298];[50,00000 , 50,00000];
N6000-0.0042I0-C61-5-QS5T500W5P500-AN20RN20CN0-ECS50-COONNNN-5;1,2333333;55,0000000;
S;1,0063020;0,0000000;
V;0,9788889;0,0000000;
Intervallo;[0,92155 , 1,54511];[55,00000 , 55,00000];
N6000-0.0042I0-C61-5-QS5T50W10P500-AN20RN20CN0-ECS50-COONNNN-5;1,0333333;50,0000000;
S;0,9994251;0,0000000;
V;0,9655556;0,0000000;
Intervallo;[0,72368 , 1,34298];[50,00000 , 50,00000];
