N6000-0.0042I0-C61-5-QS5T25W10P500-AN20RN20CN0-ECS50-COONNNN-5;10115134,5000000;
S;94916,4300078;
V;8708824395,9166660;
Intervallo;[10085726,69499 , 10144542,30501];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN0RN0CN0-ECS50-COONNNN-5;14775251,5333333;
S;35200,8761134;
V;1197798289,8488886;
Intervallo;[14764345,30244 , 14786157,76422];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN20RN20CN0-ECS50-COONNNN-5;13696738,7000000;
S;38651,8676804;
V;1444167979,3433335;
Intervallo;[13684763,25394 , 13708714,14606];
N6000-0.0042I0-C61-5-QS5T500W5P500-AN20RN20CN0-ECS50-COONNNN-5;14956443,2000000;
S;40778,6993666;
V;1607472244,6266668;
Intervallo;[14943808,80109 , 14969077,59891];
N6000-0.0042I0-C61-5-QS5T50W10P500-AN20RN20CN0-ECS50-COONNNN-5;13410034,7666667;
S;40205,3401417;
V;1562587063,3788888;
Intervallo;[13397578,01073 , 13422491,52261];
