N6000-0.0042I0-C61-5-QS5T25W10P500-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;7,5666667;7,5666667;7,5666667;7,5666667;7,5666667;7,7333333;7,7333333;7,7333333;7,7333333;7,7333333;32,2166667;32,2166667;32,2166667;32,2166667;32,2166667;32,2833333;32,2833333;32,2833333;32,2833333;32,2833333;32,3166667;32,3166667;32,3166667;32,3166667;32,3166667;34,8166667;34,8166667;34,8166667;34,8166667;34,8166667;56,7833333;56,7833333;56,7833333;56,7833333;56,7833333;56,8500000;56,8500000;56,8500000;56,8500000;56,8500000;60,0166667;60,0166667;60,0166667;60,0166667;60,0166667;64,1000000;64,1000000;64,1000000;64,1000000;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;33,8889498;33,8889498;33,8889498;33,8889498;33,8889498;33,8474604;33,8474604;33,8474604;33,8474604;33,8474604;122,8399353;122,8399353;122,8399353;122,8399353;122,8399353;122,8215473;122,8215473;122,8215473;122,8215473;122,8215473;122,8123382;122,8123382;122,8123382;122,8123382;122,8123382;122,9919035;122,9919035;122,9919035;122,9919035;122,9919035;158,2821402;158,2821402;158,2821402;158,2821402;158,2821402;158,2571647;158,2571647;158,2571647;158,2571647;158,2571647;158,0099562;158,0099562;158,0099562;158,0099562;158,0099562;157,9616060;157,9616060;157,9616060;157,9616060;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;1110,1788889;1110,1788889;1110,1788889;1110,1788889;1110,1788889;1107,4622222;1107,4622222;1107,4622222;1107,4622222;1107,4622222;14586,6613889;14586,6613889;14586,6613889;14586,6613889;14586,6613889;14582,2947222;14582,2947222;14582,2947222;14582,2947222;14582,2947222;14580,1080556;14580,1080556;14580,1080556;14580,1080556;14580,1080556;14622,7747222;14622,7747222;14622,7747222;14622,7747222;14622,7747222;24218,1280556;24218,1280556;24218,1280556;24218,1280556;24218,1280556;24210,4858333;24210,4858333;24210,4858333;24210,4858333;24210,4858333;24134,9080556;24134,9080556;24134,9080556;24134,9080556;24134,9080556;24120,1400000;24120,1400000;24120,1400000;24120,1400000;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-2,93309 , 18,06643];[-2,93309 , 18,06643];[-2,93309 , 18,06643];[-2,93309 , 18,06643];[-2,93309 , 18,06643];[-2,75357 , 18,22024];[-2,75357 , 18,22024];[-2,75357 , 18,22024];[-2,75357 , 18,22024];[-2,75357 , 18,22024];[-5,84263 , 70,27597];[-5,84263 , 70,27597];[-5,84263 , 70,27597];[-5,84263 , 70,27597];[-5,84263 , 70,27597];[-5,77027 , 70,33694];[-5,77027 , 70,33694];[-5,77027 , 70,33694];[-5,77027 , 70,33694];[-5,77027 , 70,33694];[-5,73408 , 70,36742];[-5,73408 , 70,36742];[-5,73408 , 70,36742];[-5,73408 , 70,36742];[-5,73408 , 70,36742];[-3,28972 , 72,92305];[-3,28972 , 72,92305];[-3,28972 , 72,92305];[-3,28972 , 72,92305];[-3,28972 , 72,92305];[7,74303 , 105,82363];[7,74303 , 105,82363];[7,74303 , 105,82363];[7,74303 , 105,82363];[7,74303 , 105,82363];[7,81744 , 105,88256];[7,81744 , 105,88256];[7,81744 , 105,88256];[7,81744 , 105,88256];[7,81744 , 105,88256];[11,06070 , 108,97264];[11,06070 , 108,97264];[11,06070 , 108,97264];[11,06070 , 108,97264];[11,06070 , 108,97264];[15,15901 , 113,04099];[15,15901 , 113,04099];[15,15901 , 113,04099];[15,15901 , 113,04099];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN0RN0CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;8,7333333;8,7333333;8,7333333;8,7333333;8,7333333;21,9666667;21,9666667;21,9666667;21,9666667;21,9666667;22,0333333;22,0333333;22,0333333;22,0333333;22,0333333;29,0444444;29,0444444;29,0444444;29,0444444;29,0444444;46,4611111;46,4611111;46,4611111;46,4611111;46,4611111;75,4277778;75,4277778;75,4277778;75,4277778;75,4277778;93,0166667;93,0166667;93,0166667;93,0166667;93,0166667;96,6833333;96,6833333;96,6833333;96,6833333;96,6833333;105,6000000;105,6000000;105,6000000;105,6000000;105,6000000;105,6000000;105,6000000;105,6000000;105,6000000;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;34,2203139;34,2203139;34,2203139;34,2203139;34,2203139;60,9796367;60,9796367;60,9796367;60,9796367;60,9796367;60,9541848;60,9541848;60,9541848;60,9541848;60,9541848;85,0561110;85,0561110;85,0561110;85,0561110;85,0561110;120,7352926;120,7352926;120,7352926;120,7352926;120,7352926;203,1848887;203,1848887;203,1848887;203,1848887;203,1848887;220,4479606;220,4479606;220,4479606;220,4479606;220,4479606;219,7268521;219,7268521;219,7268521;219,7268521;219,7268521;210,0906418;210,0906418;210,0906418;210,0906418;210,0906418;210,0906418;210,0906418;210,0906418;210,0906418;
V;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;1131,9955556;1131,9955556;1131,9955556;1131,9955556;1131,9955556;3594,5655556;3594,5655556;3594,5655556;3594,5655556;3594,5655556;3591,5655556;3591,5655556;3591,5655556;3591,5655556;3591,5655556;6993,3906098;6993,3906098;6993,3906098;6993,3906098;6993,3906098;14091,1105176;14091,1105176;14091,1105176;14091,1105176;14091,1105176;39907,9623701;39907,9623701;39907,9623701;39907,9623701;39907,9623701;46977,3932338;46977,3932338;46977,3932338;46977,3932338;46977,3932338;46670,5599005;46670,5599005;46670,5599005;46670,5599005;46670,5599005;42666,8085116;42666,8085116;42666,8085116;42666,8085116;42666,8085116;42666,8085116;42666,8085116;42666,8085116;42666,8085116;
Intervallo;[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,00000 , -1,00000];[-1,86909 , 19,33576];[-1,86909 , 19,33576];[-1,86909 , 19,33576];[-1,86909 , 19,33576];[-1,86909 , 19,33576];[3,07344 , 40,85989];[3,07344 , 40,85989];[3,07344 , 40,85989];[3,07344 , 40,85989];[3,07344 , 40,85989];[3,14800 , 40,91867];[3,14800 , 40,91867];[3,14800 , 40,91867];[3,14800 , 40,91867];[3,14800 , 40,91867];[2,69165 , 55,39724];[2,69165 , 55,39724];[2,69165 , 55,39724];[2,69165 , 55,39724];[2,69165 , 55,39724];[9,05389 , 83,86833];[9,05389 , 83,86833];[9,05389 , 83,86833];[9,05389 , 83,86833];[9,05389 , 83,86833];[12,47533 , 138,38023];[12,47533 , 138,38023];[12,47533 , 138,38023];[12,47533 , 138,38023];[12,47533 , 138,38023];[24,71563 , 161,31770];[24,71563 , 161,31770];[24,71563 , 161,31770];[24,71563 , 161,31770];[24,71563 , 161,31770];[28,60572 , 164,76095];[28,60572 , 164,76095];[28,60572 , 164,76095];[28,60572 , 164,76095];[28,60572 , 164,76095];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];[40,50795 , 170,69205];
N6000-0.0042I0-C61-5-QS5T500W10P500-AN20RN20CN0-ECS50-COONNNN-5;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;-1,0000000;7,5666667;7,5666667;7,5666667;7,5666667;7,5666667;7,7333333;7,7333333;7,7333333;7,7333333;7,7333333;32,2166667;32,2166667;32,2166667;32,2166667;32,2166667;32,2833333;32,2833333;32,2833333;32,2833333;32,2833333;32,3166667;32,3166667;32,3166667;32,3166667;32,3166667;34,8166667;34,8166667;34,8166667;34,8166667;34,8166667;56,7833333;56,7833333;56,7833333;56,7833333;56,7833333;56,8500000;56,8500000;56,8500000;56,8500000;56,8500000;60,0166667;60,0166667;60,0166667;60,0166667;60,0166667;62,5333333;62,5333333;62,5333333;62,5333333;
S;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;33,8889498;33,8889498;33,8889498;33,8889498;33,8889498;33,8474604;33,8474604;33,8474604;33,8474604;33,8474604;122,8399353;122,8399353;122,8399353;122,8399353;122,8399353;122,8215473;122,8215473;122,8215473;122,8215473;122,8215473;122,8123382;122,8123382;122,8123382;122,8123382;122,8123382;122,9919035;122,9919035;122,9919035;122,9919035;122,9919035;158,2821402;158,2821402;158,2821402;158,2821402;158,2821402;158,2571647;158,2571647;158,2571647;158,2571647;158,2571647;158,0099562;158,0099562;158,0099562;158,0099562;158,0099562;157,8878876;157,8878876;157,8878876;157,8878876;
