33968706;
34153914;
34050118;
33767700;
33808333;
33659816;
33750638;
33742352;
33917226;
33978340;
33867830;
33918181;
33899125;
33742832;
33971855;
33874339;
33955107;
33787724;
33744092;
34033099;
33846387;
33886649;
33882546;
33438244;
33805624;
33934842;
33787811;
33932380;
33603383;
33974995;
